settings,0,0.1385,(2.00, -154.00)
settings,1,0.2800,(2.00, -10.68)
settings,2,0.3912,(2.00, -2.00)
settings,3,0.5125,(2.00, -2.00)
settings,4,0.6429,(2.00, -2.00)
journal,0,0.1051,(0.00, 0.00)
journal,1,0.2281,(114.45, 0.00)
journal,2,0.3462,(138.00, 0.00)
journal,3,0.4595,(138.00, 0.00)
journal,4,0.5780,(138.00, 0.00)
journal,5,0.6889,(138.00, 0.00)
worldlines,0,0.1043,(0.00, 0.00)
worldlines,1,0.2182,(0.00, -100.84)
worldlines,2,0.3358,(0.00, -128.00)
worldlines,3,0.4483,(0.00, -128.00)
worldlines,4,0.5675,(0.00, -128.00)
worldlines,5,0.6790,(0.00, -128.00)
worldlines-scrolled,0,0.1081,(0.00, -128.00)
worldlines-scrolled,1,0.2206,(0.00, -128.00)
worldlines-scrolled,2,0.3379,(0.00, -128.00)
worldlines-scrolled,3,0.4506,(0.00, -128.00)
worldlines-scrolled,4,0.5711,(0.00, -128.00)
worldlines-scrolled,5,0.6829,(0.00, -128.00)
bottom-settings,0,0.1477,(130.00, -30.00)
bottom-settings,1,0.3357,(32.71, -30.00)
bottom-settings,2,0.5214,(34.00, -30.00)
bottom-settings,3,0.6838,(34.00, -30.00)
